"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 05 00:42:50 UTC 2025","Mon May 05 00:42:50 UTC 2025","2","tests","test_sql_users","","","","Test find DB user","This test attempt find new user in DB"
"passed","Mon May 05 00:42:50 UTC 2025","Mon May 05 00:42:50 UTC 2025","8","tests","test_api_organizations_positive","","","","Test get organizations by id","This test attempt get organizations by id"
"passed","Mon May 05 00:42:50 UTC 2025","Mon May 05 00:42:50 UTC 2025","15","tests","test_api_users_positive","","","","Test change API user password","This test attempt change password for last created user"
"passed","Mon May 05 00:42:50 UTC 2025","Mon May 05 00:42:50 UTC 2025","65","tests","test_api_users_positive","","","","Test delete API user password","This test attempt delete last created user"
"passed","Mon May 05 00:42:50 UTC 2025","Mon May 05 00:42:50 UTC 2025","4","tests","test_api_dashboards_negative","","","","Test get dashboard with incorrect data for auth","This test attempt get dashboard with incorrect data for auth"
"passed","Mon May 05 00:42:50 UTC 2025","Mon May 05 00:42:50 UTC 2025","14","tests","test_api_organizations_positive","","","","Test add new user in organization","This test attempt to add new user in organization"
"passed","Mon May 05 00:42:50 UTC 2025","Mon May 05 00:42:50 UTC 2025","5","tests","test_sql_users","","","","Test create DB user","This test attempt create new user in DB"
"passed","Mon May 05 00:42:50 UTC 2025","Mon May 05 00:42:50 UTC 2025","9","tests","test_api_dashboards_positive","","","","Test get dashboard in folder","This test attempt to get the dashboard in folder"
"passed","Mon May 05 00:42:50 UTC 2025","Mon May 05 00:42:50 UTC 2025","17","tests","test_api_organizations_positive","","","","Test update user permissions in org","This test attempt update user permissions in org"
"passed","Mon May 05 00:42:50 UTC 2025","Mon May 05 00:42:50 UTC 2025","15","tests","test_api_users_positive","","","","Test create API user","This test attempt create new user with credentials"
"passed","Mon May 05 00:42:50 UTC 2025","Mon May 05 00:42:50 UTC 2025","9","tests","test_api_users_negative","","","","Test create bad request","This test create request with error data for bad request"
"passed","Mon May 05 00:42:50 UTC 2025","Mon May 05 00:42:50 UTC 2025","8","tests","test_api_dashboards_negative","","","","Test get 404 dashboard","This test attempt get 404 dashboard"
"passed","Mon May 05 00:42:50 UTC 2025","Mon May 05 00:42:50 UTC 2025","11","tests","test_api_dashboards_negative","","","","Test get dashboard from user with low access in the system","This test attempt get dashboard from user with low access in the system"
"passed","Mon May 05 00:42:50 UTC 2025","Mon May 05 00:42:50 UTC 2025","9","tests","test_api_users_negative","","","","Test create existing user","This test attempt create user which was be created in positive group test"
"passed","Mon May 05 00:42:50 UTC 2025","Mon May 05 00:42:50 UTC 2025","4","tests","test_sql_users","","","","Test delete DB user","This test attempt delete new user in DB"
